texto,categoria,metadados_json
"Óbitos hospitalares registrados no SIH em Pará durante 2023, por mês: janeiro: 1217, fevereiro: 1189, março: 1269, abril: 1181, maio: 1194, junho: 1190, julho: 1215, agosto: 1261, setembro: 1175, outubro: 1102, novembro: 1167, dezembro: 1121. Total de óbitos no ano: 14281.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Pará"", ""co_uf_ibge"": 15, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Pará durante 2024, por mês: janeiro: 1169, fevereiro: 1160, março: 1267, abril: 1307, maio: 1250, junho: 1246, julho: 1330, agosto: 1242, setembro: 1159, outubro: 1264, novembro: 1255, dezembro: 1227. Total de óbitos no ano: 14876.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Pará"", ""co_uf_ibge"": 15, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Pará durante 2025, por mês: janeiro: 1279, fevereiro: 1411, março: 1338, abril: 1355, maio: 1463, junho: 1501, julho: 1340, agosto: 1428, setembro: 1341, outubro: 1367, novembro: 1296, dezembro: 1273. Total de óbitos no ano: 16392.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Pará"", ""co_uf_ibge"": 15, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Pernambuco durante 2023, por mês: janeiro: 2182, fevereiro: 2035, março: 2349, abril: 2105, maio: 2333, junho: 2211, julho: 2511, agosto: 2313, setembro: 1853, outubro: 2522, novembro: 2137, dezembro: 2267. Total de óbitos no ano: 26818.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Pernambuco"", ""co_uf_ibge"": 26, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Pernambuco durante 2024, por mês: janeiro: 2228, fevereiro: 2187, março: 2415, abril: 2454, maio: 2421, junho: 2382, julho: 2365, agosto: 2534, setembro: 2357, outubro: 2445, novembro: 2108, dezembro: 2341. Total de óbitos no ano: 28237.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Pernambuco"", ""co_uf_ibge"": 26, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Pernambuco durante 2025, por mês: janeiro: 2343, fevereiro: 2107, março: 2364, abril: 2263, maio: 2448, junho: 2406, julho: 2489, agosto: 2448, setembro: 2368, outubro: 2386, novembro: 2192, dezembro: 2377. Total de óbitos no ano: 28191.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Pernambuco"", ""co_uf_ibge"": 26, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Piauí durante 2023, por mês: janeiro: 702, fevereiro: 595, março: 661, abril: 618, maio: 663, junho: 653, julho: 741, agosto: 714, setembro: 752, outubro: 696, novembro: 666, dezembro: 778. Total de óbitos no ano: 8239.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Piauí"", ""co_uf_ibge"": 22, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Piauí durante 2024, por mês: janeiro: 773, fevereiro: 634, março: 703, abril: 818, maio: 784, junho: 686, julho: 712, agosto: 678, setembro: 679, outubro: 653, novembro: 624, dezembro: 655. Total de óbitos no ano: 8399.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Piauí"", ""co_uf_ibge"": 22, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Piauí durante 2025, por mês: janeiro: 699, fevereiro: 630, março: 716, abril: 647, maio: 684, junho: 709, julho: 675, agosto: 661, setembro: 647, outubro: 709, novembro: 612, dezembro: 752. Total de óbitos no ano: 8141.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Piauí"", ""co_uf_ibge"": 22, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Rio Grande do Norte durante 2023, por mês: janeiro: 649, fevereiro: 533, março: 621, abril: 540, maio: 600, junho: 646, julho: 653, agosto: 563, setembro: 619, outubro: 680, novembro: 647, dezembro: 550. Total de óbitos no ano: 7301.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Rio Grande do Norte"", ""co_uf_ibge"": 24, ""ano"": 2023}"
