Ano;Mes;Fonte;Indicador;Unidade_Federacao;Valor;Arquivo_Origem
2023;12.0;SIH;Internações;21 Maranhão;39303,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;22 Piauí;17695,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;23 Ceará;44149,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;24 Rio Grande do Norte;17195,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;25 Paraíba;18233,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;26 Pernambuco;51525,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;27 Alagoas;13770,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;28 Sergipe;9770,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;29 Bahia;71244,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;31 Minas Gerais;118936,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;32 Espírito Santo;23588,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;33 Rio de Janeiro;74066,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;35 São Paulo;212775,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;41 Paraná;76526,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;42 Santa Catarina;45845,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;43 Rio Grande do Sul;65793,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;50 Mato Grosso do Sul;17236,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;51 Mato Grosso;17643,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;52 Goiás;34384,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;53 Distrito Federal;18870,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Valor total;11 Rondônia;10285428,64;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;12 Acre;3503827,09;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;13 Amazonas;14969368,81;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;14 Roraima;2944423,63;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;15 Pará;56140900,16;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;16 Amapá;4021077,83;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;17 Tocantins;10083750,34;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;21 Maranhão;42193707,59;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;22 Piauí;21718829,69;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;23 Ceará;63808605,0;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;24 Rio Grande do Norte;29211980,15;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;25 Paraíba;35819800,87;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;26 Pernambuco;85620608,6;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;27 Alagoas;20499132,76;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;28 Sergipe;15601529,83;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;29 Bahia;96606453,35;sih_cnv_niuf090748201_63_116_66.csv
2023;12.0;SIH;Valor total;31 Minas Gerais;219830062,26;sih_cnv_niuf090748201_63_116_66.csv
