OBITOS,CO_UF_IBGE,NOME_UF,ANO_REF,MES_REF
1234.0,21,Maranhão,2025,10
709.0,22,Piauí,2025,10
1946.0,23,Ceará,2025,10
638.0,24,Rio Grande do Norte,2025,10
1091.0,25,Paraíba,2025,10
2386.0,26,Pernambuco,2025,10
703.0,27,Alagoas,2025,10
476.0,28,Sergipe,2025,10
3251.0,29,Bahia,2025,10
5931.0,31,Minas Gerais,2025,10
1138.0,32,Espírito Santo,2025,10
4719.0,33,Rio de Janeiro,2025,10
11999.0,35,São Paulo,2025,10
3577.0,41,Paraná,2025,10
2208.0,42,Santa Catarina,2025,10
3634.0,43,Rio Grande do Sul,2025,10
768.0,50,Mato Grosso do Sul,2025,10
636.0,51,Mato Grosso,2025,10
1394.0,52,Goiás,2025,10
603.0,53,Distrito Federal,2025,10
327.0,11,Rondônia,2025,9
138.0,12,Acre,2025,9
684.0,13,Amazonas,2025,9
106.0,14,Roraima,2025,9
1341.0,15,Pará,2025,9
83.0,16,Amapá,2025,9
431.0,17,Tocantins,2025,9
1289.0,21,Maranhão,2025,9
647.0,22,Piauí,2025,9
2112.0,23,Ceará,2025,9
671.0,24,Rio Grande do Norte,2025,9
1085.0,25,Paraíba,2025,9
2368.0,26,Pernambuco,2025,9
717.0,27,Alagoas,2025,9
575.0,28,Sergipe,2025,9
3325.0,29,Bahia,2025,9
6087.0,31,Minas Gerais,2025,9
1070.0,32,Espírito Santo,2025,9
4963.0,33,Rio de Janeiro,2025,9
12092.0,35,São Paulo,2025,9
3607.0,41,Paraná,2025,9
2247.0,42,Santa Catarina,2025,9
4054.0,43,Rio Grande do Sul,2025,9
753.0,50,Mato Grosso do Sul,2025,9
680.0,51,Mato Grosso,2025,9
1344.0,52,Goiás,2025,9
633.0,53,Distrito Federal,2025,9
365.0,11,Rondônia,2025,11
137.0,12,Acre,2025,11
634.0,13,Amazonas,2025,11
77.0,14,Roraima,2025,11
1296.0,15,Pará,2025,11
127.0,16,Amapá,2025,11
241.0,17,Tocantins,2025,11
1182.0,21,Maranhão,2025,11
612.0,22,Piauí,2025,11
1806.0,23,Ceará,2025,11
653.0,24,Rio Grande do Norte,2025,11
1120.0,25,Paraíba,2025,11
2192.0,26,Pernambuco,2025,11
719.0,27,Alagoas,2025,11
533.0,28,Sergipe,2025,11
2985.0,29,Bahia,2025,11
5412.0,31,Minas Gerais,2025,11
985.0,32,Espírito Santo,2025,11
4607.0,33,Rio de Janeiro,2025,11
11617.0,35,São Paulo,2025,11
3372.0,41,Paraná,2025,11
2157.0,42,Santa Catarina,2025,11
3466.0,43,Rio Grande do Sul,2025,11
705.0,50,Mato Grosso do Sul,2025,11
683.0,51,Mato Grosso,2025,11
1260.0,52,Goiás,2025,11
548.0,53,Distrito Federal,2025,11
377.0,11,Rondônia,2025,8
126.0,12,Acre,2025,8
894.0,13,Amazonas,2025,8
87.0,14,Roraima,2025,8
